School,Rank,Country,Average_salary,Pre_Salary,Grad_Jobs,PhD,Avg_Age_Students,Avg_Work_Experience,Tuition,Duration
Chicago (Booth),1,US,113217,63,93,96,27,60,106800,21
Dartmouth (Tuck),2,US,115143,62,97,100,28,60,106980,21
Virginia (Darden),3,US,104478,67,95,97,27,60,107800,21
Harvard,4,US,121785,44,97,94,27,48,107000,18
Columbia,5,US,113340,55,98,97,28,60,111736,20
California At Berkeley (Haas),6,US,114232,72,92,100,28,60,106792,21
MIT (Sloan),7,US,115355,51,96,100,28,56,116400,22
Stanford,8,US,127189,56,95,91,28,48,114600,21
IESE,9,Spain,126765,153,95,100,27,60,95610,19
IMD,10,Switz.,145264,77,95,100,31,84,67416,11
New York (Stern),11,US,105798,49,93,100,27,55,96640,20
London,12,Britain,118514,68,93,100,29,60,92144,15
Pennsylvania (Wharton),13,US,118024,50,95,100,28,55,107852,21
HEC Paris,14,France,109880,118,90,100,30,72,66802,16
Cornell (Johnson),15,US,103628,106,90,93,27,60,107592,21
York (Schulich),16,Canada,92700,165,90,99,28,60,61800,8
Carnegie Mellon (Tepper),17,US,101150,74,91,92,29,53,108272,21
ESADE,18,Spain,122224,108,92,88,28,72,81693,12
INSEAD,19,France/Singapore,119269,39,92,95,29,67,80719,10
Northwestern (Kellogg),20,US,111928,49,95,91,27,58,113100,22
Emory (Goizueta),21,US,100682,105,95,92,29,55,87200,22
IE,22,Spain,103126,73,92,95,29,60,82389,13
UCLA (Anderson),23,US,103368,62,90,100,28,56,105160,21
Michigan (Ross),24,US,106500,68,86,94,28,60,105500,20
Bath,25,Britain,129735,58,89,100,29,78,36057,12
