state,death,hospitalized,negative,pending,positive,recovered,total
WY,50,272,95212,,5948,4791,101160
NE,478,2315,410594,,45044,33198,455638
ND,191,859,219646,,21846,17938,241492
NC,3532,,2824239,,210632,184422,3034871
MT,180,717,330087,,13071,9256,343158
NH,439,738,265447,,8266,7522,273713
MP,2,4,15112,,70,29,15182
MO,2118,,1178272,,126113,,1304385
MN,2089,7701,1315567,,99134,89392,1414701
MI,7083,,3509848,,138014,95051,3647862
ME,141,449,429709,,5391,4678,435100
NJ,16126,23439,3407757,,205275,34859,3613032
MD,3949,15530,1493282,,124725,7536,1618007
NM,875,3475,885829,,29157,16565,914986
MA,9456,12686,2104449,,132116,113768,2236565
NV,1600,,618116,,79980,2220,698096
LA,5511,,2151146,,167458,154163,2318604
NY,25479,89995,10288664,,458649,76754,10747313
KY,1174,5279,1315769,,68840,11840,1384609
OH,4804,15516,3011948,,153987,132980,3165935
KS,678,2917,461701,,59749,2095,521450
OK,1031,6449,1116829,4926,87199,73100,1204028
IN,3632,12814,1259831,,120019,94816,1379850
OR,559,2598,652364,,33509,5720,685873
IL,8916,,5331548,,295763,,5627311
PA,8142,,1879127,,158967,130352,2038094
ID,464,1847,269007,,41434,21976,310441
PR,661,,305972,,48755,,354727
IA,1344,,679271,,85596,68456,764867
RI,1114,2782,315853,,24748,2322,340601
HI,132,832,284211,,12290,10256,296501
SC,3378,9160,1161156,,147942,71691,1309098
GU,49,,47626,,2488,1822,50114
SD,223,1549,168380,,22389,18508,190769
GA,7021,28522,2615653,,318026,,2933679
TN,2454,8733,2688217,,196139,179322,2884356
FL,14488,44608,4594668,3980,706516,,5301184
TX,15711,,5488190,,748967,664883,6237157
DE,636,,265949,,20613,10622,286562
UT,459,3847,756928,,73042,55141,829970
DC,627,,372534,,15326,12155,387860
VA,3208,18541,1909374,314,148271,17633,2057645
CT,4508,11560,1536443,,57550,9310,1593993
VI,20,,19243,21,1318,1254,20561
CO,1952,7558,837127,,70025,6500,907152
VT,58,,160975,,1752,1606,162727
CA,15792,,13894577,,810625,,14705202
WA,2124,7483,1767357,,87042,,1854399
AZ,5650,22119,1243641,,218507,35261,1462148
WI,1337,7300,1423247,190,129123,99925,1552370
AS,0,,1571,,0,,1571
WV,350,,545720,,15848,11507,561568
AR,1369,5354,949107,,83697,75312,1032804
MS,2969,5844,638843,,98190,89737,737033
AL,2540,17257,994475,,154701,67948,1149176
AK,56,,448427,,8780,4555,457207
